% Model,solenoidTest.mph
% Version,COMSOL 6.0.0.405
% Date,"Nov 9 2022, 15:25"
% Dimension,2
% Nodes,53341
% Expressions,4
% Description,"Magnetic flux density norm, Magnetic flux density, r component, Magnetic flux density, phi component, Magnetic flux density, z component"
% Length unit,mm
% r,z,mf.normB (T),mf.Br (T),mf.Bphi (T),mf.Bz (T)
0,-650,0.0035827790524348233,-7.65119953007412E-9,0,0.0035827790524266536
1,-650,0.003582486531401779,-2.6591984618511795E-5,0,0.0035823878369083935
2,-650,0.0035821605512099523,-5.315982766269673E-5,0,0.00358176607937588
3,-650,0.0035815921438851293,-7.972854425289042E-5,0,0.0035807046295905213
4,-650,0.003580908671247282,-1.0627160087405365E-4,0,0.0035793313982728173
5,-650,0.0035797528599737036,-1.3293615021894918E-4,0,0.0035772836787784775
6,-650,0.0035785747879128666,-1.5935132017441504E-4,0,0.003575025128505293
7,-650,0.003577112194012054,-1.858878359813033E-4,0,0.0035722790149964375
8,-650,0.003575451403325035,-2.1237382196082066E-4,0,0.003569138565156124
9.000000000000002,-650,0.003573551619948995,-2.388331400042026E-4,0,0.0035655616544488216
10,-650,0.0035714413191267717,-2.654403716645286E-4,0,0.0035615634916503413
11,-650,0.003569143183195624,-2.9186079444976315E-4,0,0.003557189949779874
12,-650,0.0035666021905760596,-3.182892705850789E-4,0,0.0035523714791744917
13.000000000000002,-650,0.003563780655298827,-3.446130771499877E-4,0,0.003547079698306672
14,-650,0.0035610634606804605,-3.7093688371489866E-4,0,0.0035416915166758068
15,-650,0.003557629636956515,-3.974973795991257E-4,0,0.003535353513718702
16,-650,0.0035544456600669167,-4.2315346952728154E-4,0,0.0035291677618945185
17,-650,0.0035518731691601482,-4.4924715740531345E-4,0,0.0035233478399617317
18.000000000000004,-650,0.00354741719196182,-4.7496644855846235E-4,0,0.00351547658313493
19,-650,0.0035430287512659884,-5.006857397116104E-4,0,0.00350747295390098
20,-650,0.0035382942695006275,-5.258761721790364E-4,0,0.003498997083324778
21,-650,0.0035348215928889806,-5.527254050695981E-4,0,0.003491340476112984
22,-650,0.003531621841788738,-5.795470438991566E-4,0,0.0034837448324047827
23,-650,0.003526108566197187,-6.058918183488287E-4,0,0.0034736633004750373
24,-650,0.0035206799858421554,-6.322365927985017E-4,0,0.0034634469035104407
