% Model,solenoidSplitCoil.mph
% Version,COMSOL 6.0.0.405
% Date,"Oct 28 2022, 13:02"
% Dimension,2
% Nodes,53341
% Expressions,4
% Description,"Magnetic flux density norm, Magnetic flux density, r component, Magnetic flux density, phi component, Magnetic flux density, z component"
% Length unit,mm
% r,z,mf.normB (T),mf.Br (T),mf.Bphi (T),mf.Bz (T)
0,-650,0.017238599746617563,-6.621176500138733E-8,0,0.017238599746490408
1,-650,0.017236114608687157,-2.0443648587923843E-4,0,0.017234902161806436
2,-650,0.01723403732616629,-4.087907130259343E-4,0,0.017229188393904013
3,-650,0.017230713662480333,-6.129854964138639E-4,0,0.01721980668008711
4,-650,0.017224561794554547,-8.16121429101941E-4,0,0.017205216500450926
5,-650,0.017217558023058434,-0.0010221486232812466,0,0.017187190476320096
6,-650,0.017210955131169055,-0.0012244330501757989,0,0.017167345171363906
7,-650,0.01720066192804645,-0.0014268277056158868,0,0.017141380733810028
8,-650,0.017189051250345408,-0.001629354862884104,0,0.01711165350332331
9.000000000000002,-650,0.017180737656994634,-0.001831947404966349,0,0.017082790028092907
10,-650,0.01716340710499887,-0.002033640163366066,0,0.017042501316939074
11,-650,0.01714797570130205,-0.002233983278475307,0,0.01700183488226898
12,-650,0.017123056126548613,-0.0024355572384310784,0,0.016948956075559934
13.000000000000002,-650,0.017117530989328295,-0.002633684186644454,0,0.016913709669248597
14,-650,0.017092220366715642,-0.0028259393606310072,0,0.01685698857430963
15,-650,0.017068054213313952,-0.0030181945346175465,0,0.01679907665259698
16,-650,0.01704526881850366,-0.0032104497086040897,0,0.016740197184130688
17,-650,0.017030481519535526,-0.003419515599478319,0,0.016683651094774356
18.000000000000004,-650,0.016997041875983453,-0.0035965828094251494,0,0.016612164959116035
19,-650,0.0169692950144352,-0.0037894773026065955,0,0.01654076283186373
20,-650,0.01694312447024418,-0.003982371795788038,0,0.016468460210180523
21,-650,0.01691867376658796,-0.004175266288969482,0,0.01639538573612791
22,-650,0.01689606205898772,-0.004368160782150899,0,0.01632164466230175
23,-650,0.01686440354128152,-0.004558231271747863,0,0.0162367063925061
24,-650,0.01682176900375416,-0.0047499396461741575,0,0.016137223607962034
25,-650,0.016782544874312893,-0.004936932039800172,0,0.016039966162455593
26.000000000000004,-650,0.016748104220967338,-0.005111903003382002,0,0.015948900986600862
27,-650,0.016715282776711277,-0.005286873966963828,0,0.015857163742701935
28,-650,0.016684169223163153,-0.005461844930545653,0,0.015764826438049273
29,-650,0.01665484152450095,-0.0056368158941274785,0,0.015671951147893264
30,-650,0.016599184970294802,-0.005797345770140766,0,0.01555389737974029
31,-650,0.016554822449396316,-0.0059766170108035595,0,0.015438335254722567
32,-650,0.01651219498855304,-0.00615588825146636,0,0.015321802216953935
33,-650,0.01647141814118502,-0.006335159492129146,0,0.015204386531229894
34,-650,0.01643707945295489,-0.006497332568632159,0,0.015098418805800283
35,-650,0.016390543210958824,-0.0066512436128726106,0,0.014980349300084081
36.00000000000001,-650,0.01634555948905194,-0.006805154657113069,0,0.014861601027578029
37,-650,0.016302205740786613,-0.006959065701353529,0,0.014742229023427254
38,-650,0.016260553021312504,-0.00711297674559398,0,0.01462228252960373
39,-650,0.01622066668795503,-0.0072668877898344345,0,0.01450180573762072
40,-650,0.016182606990017372,-0.007420798834074893,0,0.014380838419840194
0,-649,0.017651541817018387,-8.429903182405854E-8,0,0.01765154181681709
1,-649,0.017648996503395967,-2.0839910760241283E-4,0,0.01764776607360925
2,-649,0.017646702239219856,-4.168652715203572E-4,0,0.01764177778074215
3,-649,0.017643057792650334,-6.249640683412654E-4,0,0.017631985372841087
4,-649,0.01763760865291158,-8.333798598411345E-4,0,0.017617908984963928
5,-649,0.017630225313934517,-0.0010397659898384835,0,0.017599537815138004
6,-649,0.017622457412417972,-0.0012478291353339582,0,0.01757822310990212
7,-649,0.017611975969278687,-0.0014549031458304254,0,0.017551779236838146
8,-649,0.017600735827378002,-0.0016609593040035984,0,0.01752218924266005
9.000000000000002,-649,0.01758926741467645,-0.0018646237292672674,0,0.017490154560016107
10,-649,0.017572946219516758,-0.0020711849808908167,0,0.017450462217630816
11,-649,0.017558092994631597,-0.002277746232514352,0,0.017409724343262812
12,-649,0.01753602658083138,-0.0024775272108740684,0,0.0173601292380847
13.000000000000002,-649,0.01751900816418133,-0.0026777450499747054,0,0.017313154781956643
14,-649,0.017496797222339724,-0.0028794308408423203,0,0.017258238353681444
15,-649,0.017476111258242475,-0.003081116631709943,0,0.017202359867537646
16,-649,0.01745714209914567,-0.003282802422577575,0,0.017145699709375607
17,-649,0.0174400381265528,-0.0034844882134452,0,0.017088395821316195
18.000000000000004,-649,0.017394862712093766,-0.0036817366764545978,0,0.017000766565594596
19,-649,0.01737289493448441,-0.0038744948450031417,0,0.016935340802613868
20,-649,0.01734620684804284,-0.004067389338184586,0,0.016862598731711274
21,-649,0.017321223754526355,-0.004260283831366023,0,0.016789126660745914
22,-649,0.017298058533543555,-0.004453178324547466,0,0.01671502413518089
23,-649,0.017265197720150532,-0.004645450746967969,0,0.01662849481081754
24,-649,0.017221928340537967,-0.004837159121394249,0,0.016528663206712674
25,-649,0.017180033214920995,-0.005028867495820558,0,0.016427538859344334
26.000000000000004,-649,0.017136601922886036,-0.005218977335064002,0,0.016322542725922012
27,-649,0.017102784327685402,-0.005393948298645817,0,0.016229927711202456
28,-649,0.017070687740033834,-0.005568919262227641,0,0.01613677533364493
29,-649,0.017040383033489877,-0.005743890225809461,0,0.016043141182508498
30,-649,0.016992289404559144,-0.00591803815608353,0,0.015928425019173503
31,-649,0.01694719762205956,-0.006097309396746338,0,0.01581234724389425
32,-649,0.016903812378195843,-0.006276580637409129,0,0.01569533078400541
33,-649,0.016862245220693114,-0.006455851878071923,0,0.015577460974471515
34,-649,0.01680964713970314,-0.006633470604977586,0,0.01544542989671146
35,-649,0.01676192721038439,-0.0067873816492180356,0,0.015326240705211533
36.00000000000001,-649,0.016715777223813566,-0.006941292693458494,0,0.01520643495168753
37,-649,0.016671268748508106,-0.007095203737698947,0,0.015086062627654901
