% Model,solenoidSplitCoil.mph
% Version,COMSOL 6.0.0.405
% Date,"Oct 7 2022, 14:27"
% Dimension,2
% Nodes,53341
% Expressions,1
% Description,Magnetic flux density norm
% Length unit,mm
% r,z,mf.normB (T)
0,-650,2.2580567406462447E-4
1,-650,2.2578493907382733E-4
2,-650,2.2576169843787922E-4
3,-650,2.257239218350673E-4
4,-650,2.2566615334856734E-4
5,-650,2.25591482534125E-4
6,-650,2.255126266558596E-4
7,-650,2.2540832659861558E-4
8,-650,2.2528765791692747E-4
9.000000000000002,-650,2.2516104191842845E-4
10,-650,2.2501397134986023E-4
11,-650,2.2483953031778416E-4
12,-650,2.246839808413025E-4
13.000000000000002,-650,2.2447960433998897E-4
14,-650,2.2428123401388615E-4
15,-650,2.2402177560884215E-4
16,-650,2.238933483355019E-4
17,-650,2.2360151474900135E-4
18.000000000000004,-650,2.2331401526624116E-4
19,-650,2.2303237908969476E-4
20,-650,2.2275784064778697E-4
21,-650,2.2249140922689926E-4
22,-650,2.2198103394570953E-4
23,-650,2.2183399488821644E-4
24,-650,2.214033986309147E-4
25,-650,2.210496960061728E-4
26.000000000000004,-650,2.2070356422950274E-4
27,-650,2.2036571721922984E-4
28,-650,2.200367756899855E-4
29,-650,2.1971728283653305E-4
30,-650,2.1908646245771083E-4
31,-650,2.1869626392420177E-4
32,-650,2.1831564027781033E-4
33,-650,2.180173002069006E-4
34,-650,2.175456767636451E-4
35,-650,2.170811272358451E-4
36.00000000000001,-650,2.1662428157487638E-4
37,-650,2.161757114040697E-4
38,-650,2.1573593742313117E-4
39,-650,2.153054356606125E-4
40,-650,2.1488464277610007E-4
0,-649,2.2926325756120216E-4
1,-649,2.2924224604506504E-4
2,-649,2.2921959262921842E-4
3,-649,2.291794868979599E-4
4,-649,2.2912043177551584E-4
5,-649,2.2905438579920133E-4
6,-649,2.289639276939408E-4
7,-649,2.288625403865866E-4
8,-649,2.2874241316403495E-4
9.000000000000002,-649,2.2859321471430138E-4
10,-649,2.2845889554156014E-4
11,-649,2.2829871251501575E-4
12,-649,2.2811393066144757E-4
13.000000000000002,-649,2.2790731090073616E-4
14,-649,2.277045821997118E-4
15,-649,2.2749287868422427E-4
16,-649,2.2728916301948597E-4
17,-649,2.270361943281197E-4
18.000000000000004,-649,2.2674735394147836E-4
19,-649,2.264643329297886E-4
20,-649,2.2602467913629277E-4
21,-649,2.2575660802307953E-4
22,-649,2.254989074532081E-4
23,-649,2.2531170227613076E-4
24,-649,2.248916323235897E-4
25,-649,2.2445379683856253E-4
26.000000000000004,-649,2.241052438216537E-4
27,-649,2.2376504188700703E-4
28,-649,2.2343378164459759E-4
29,-649,2.2292723709306153E-4
30,-649,2.2252763588558532E-4
31,-649,2.2213684683354887E-4
32,-649,2.2175548865201216E-4
33,-649,2.2134400820128305E-4
34,-649,2.2086835942344122E-4
35,-649,2.2039987829744422E-4
36.00000000000001,-649,2.1993916844780637E-4
37,-649,2.1948677775047415E-4
38,-649,2.190432054100401E-4
39,-649,2.1860890793606473E-4
40,-649,2.1818430421123903E-4
0,-648,2.327789077617433E-4
1,-648,2.3275825579915197E-4
2,-648,2.327342808481475E-4
3,-648,2.3269420699327368E-4
4,-648,2.3263852614745985E-4
5,-648,2.325705640841882E-4
6,-648,2.3247541745031162E-4
7,-648,2.3237862757891843E-4
8,-648,2.3225089232979334E-4
9.000000000000002,-648,2.3212769823251127E-4
10,-648,2.3197070850124624E-4
11,-648,2.3179520907509973E-4
12,-648,2.3162648392773005E-4
13.000000000000002,-648,2.314257650279425E-4
14,-648,2.3120632663075385E-4
15,-648,2.3099355370758648E-4
16,-648,2.3078875638718032E-4
17,-648,2.304988056836721E-4
18.000000000000004,-648,2.3020704116543804E-4
19,-648,2.2984371653309303E-4
20,-648,2.295683279704173E-4
21,-648,2.293022166764262E-4
22,-648,2.290461454697136E-4
23,-648,2.2881842459056303E-4
24,-648,2.2839789127846754E-4
25,-648,2.2798210095429912E-4
26.000000000000004,-648,2.2757229552367765E-4
27,-648,2.2719313492624126E-4
28,-648,2.2685846643319372E-4
29,-648,2.263983549971396E-4
30,-648,2.259972384938619E-4
31,-648,2.2560487232519406E-4
32,-648,2.252218582714616E-4
33,-648,2.2484873389313223E-4
34,-648,2.2421774359626613E-4
35,-648,2.237445005171308E-4
36.00000000000001,-648,2.2327914501119834E-4
37,-648,2.2282219778302673E-4
38,-648,2.2237413348889828E-4
39,-648,2.2193538638872685E-4
40,-648,2.214727211052908E-4
0,-647,2.3635409367738758E-4
1,-647,2.3633420149669063E-4
2,-647,2.3630853317965352E-4
3,-647,2.362699105972594E-4
4,-647,2.3621069075587488E-4
5,-647,2.3614075477634315E-4
6,-647,2.3604637543464055E-4
7,-647,2.3594893742767575E-4
8,-647,2.3581650590923203E-4
9.000000000000002,-647,2.3570216307772967E-4
10,-647,2.3553084800463991E-4
11,-647,2.3534590755222335E-4
12,-647,2.3518952793649445E-4
13.000000000000002,-647,2.3501185800170056E-4
14,-647,2.3476561716527194E-4
15,-647,2.3452474689072622E-4
16,-647,2.3431603931291966E-4
17,-647,2.339893471599345E-4
18.000000000000004,-647,2.3370230574706695E-4
19,-647,2.3341925574375894E-4
20,-647,2.3314439670574206E-4
21,-647,2.3287864087809875E-4
22,-647,2.3262274321705667E-4
23,-647,2.3235415667605352E-4
24,-647,2.3193190046699914E-4
25,-647,2.3151433892817176E-4
26.000000000000004,-647,2.311026915541928E-4
27,-647,2.3069800983402505E-4
28,-647,2.3031074209564194E-4
29,-647,2.2989894767242995E-4
30,-647,2.2949526152388168E-4
31,-647,2.2910033482655882E-4
32,-647,2.2871474647030536E-4
